"names" "transcripts" "pool_ratio" "weighted_length"
"497" "YDR521W" 0.626 29.1833941606
"498" "YJR147W" 0.626 31.0767928919
"499" "YDR211W" 0.627 23.7595907928
"500" "YBR026C" 0.627 25.1012536162
"501" "YGL095C" 0.627 25.1881666331
"502" "YOR337W" 0.627 27.1816855162
"503" "YDL080C" 0.627 28.7407048173
"504" "YDR168W" 0.628 28.7681015671
"505" "YER151C" 0.629 24.7892486255
"506" "YDL060W" 0.629 27.1902561949
"507" "YBR079C" 0.629 27.9016042781
"508" "YDL197C" 0.629 28.4976348155
"509" "YPR141C" 0.63 24.3765335713
"510" "YBR269C" 0.63 29.2914331465
"511" "YAL026C" 0.631 26.5256336954
"512" "YAL069W" 0.631 27.4381095274
"513" "YKL012W" 0.631 28.9861161856
"514" "YHR046C" 0.632 26.2505418292
"515" "YPR195C" 0.632 27.9092814942
"516" "YDR193W" 0.632 28.5320322444
"517" "YCR086W" 0.632 28.780155642
"518" "YBL067C" 0.634 27.3475046211
"519" "YOL083W" 0.634 31.1828644501
"520" "YMR190C" 0.635 25.8855205425
"521" "YKR054C" 0.635 28.6373467916
"522" "YMR193W" 0.636 24.1324319639
"523" "YNR063W" 0.636 29.5767646641
"524" "YHR119W" 0.637 25.6895917617
"525" "YDL150W" 0.638 26.4248434238
"526" "YCL001W-A" 0.638 28.950554995
"527" "YLL051C" 0.638 29.371802742
"528" "YFR022W" 0.638 29.8257973613
"529" "YCL066W" 0.639 25.6962025316
"530" "YKL205W" 0.639 26.630086877
"531" "YNL132W" 0.639 26.9428213689
"532" "YBR245C" 0.639 27.2894391296
"533" "YAL040C" 0.639 28.0577670802
"534" "YOR014W" 0.639 28.4019738091
"535" "YMR092C" 0.64 24.1078336557
"536" "Q0032" 0.641 28.3742255266
"537" "YDR054C-R" 0.641 29.3851391949
"538" "YKL088W" 0.641 30.6283143179
"539" "YFL062W" 0.642 26.4896280401
"540" "YCR019W" 0.642 27.1401728673
"541" "YDL105W" 0.642 28.2498295842
"542" "YCL068C" 0.643 24.2775702772
"543" "YOR165W" 0.643 24.5155746509
"544" "YGR011W" 0.643 27.745825603
"545" "YHR153C" 0.643 29.5724980299
"546" "YKL068W" 0.643 29.5959010054
"547" "YPL045W" 0.644 24.2522049165
"548" "YGL091C" 0.644 24.9795264376
"549" "YOR237W" 0.644 25.817526258
"550" "YOR287C" 0.644 25.8771929825
